sample_id,genotype,block_number,replica_number,dev_stage,dev_group,leaf_number,leaf_zone,dag,tissue_designation,developmental_stage_dap,Acylcarnitine_12_1,CE_20_3,CE_20_4,CUDA,Ceramide,Ceramide_36_3,Ceramide_38_3,Cholesterol,DGDG_32_0,DGDG_32_1,DGDG_34_0,DGDG_34_1,DGDG_34_2,DGDG_34_4,DGDG_34_5,DGDG_36_1,DGDG_36_2,DGDG_36_3,DGDG_36_4,DGDG_36_6,DGDG_38_2,DGDG_38_5,DGDG_38_6,DGDG_40_2,DGDG_42_2,DGDG_42_3,DGDG_44_2,DG_18_1,DG_24_0,DG_34_1,DG_34_2,DG_34_3,DG_34_4,DG_36_2,DG_36_3,DG_36_4,DG_36_5,DG_36_6,GlucCeramide_34_3,GlucCeramide_36_3,GlucCeramide_38_3,GlucCeramide_40_1,GlucCeramide_40_3,GlucCeramide_42_3,LPC_16_0,LPC_17_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,LPC_20_1,LPE_17_1,MGDG_34_1,MGDG_34_2,MGDG_34_3,MGDG_34_4,MGDG_34_6,MGDG_36_3,MGDG_36_4,MGDG_36_6,MGDG_36_7,MGDG_38_1,MGDG_38_5,MGDG_38_6,PC_30_0,PC_32_0,PC_32_1,PC_32_2,PC_34_0,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_36_1,PC_36_2,PC_36_4,PC_36_5,PC_36_6,PC_38_2,PC_38_3,PC_38_4,PC_38_5,PC_40_6,PC_42_3,PC_44_2,PE_34_0,PE_34_1,PE_34_2,PE_34_4,PE_36_2,PE_36_3,PE_36_5,PE_36_6,PE_38_7,PE_42_3,PE_44_2,PG_32_0,PG_32_1,PG_34_2,PG_34_3,PG_34_4,PG_34_5,PG_36_6,PG_36_7,PS_42_2,SQDG_32_0,SQDG_32_1,SQDG_34_1,SQDG_34_3,SQDG_34_4,SQDG_36_3,SQDG_36_4,SQDG_36_5,SQDG_38_6,Sphingosine_17_1,Sphingosine_35_1,TG_42_0,TG_44_1,TG_46_0,TG_46_1,TG_46_2,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_48_5,TG_48_6,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_51_1,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_7,TG_54_8,TG_54_9,TG_56_3,TG_56_4,TG_56_5,TG_56_6,TG_56_7,TG_56_8,TG_58_1,TG_58_6
D11B110B,B73,1,1,11,3,10,base,58,B73_11_12,58,0.000971898,0.000658327,0,0.00651122,0,0.000506894,0.000648551,0.000251296,0.014051431,4.67E-05,0.000539449,0.002533396,0.028350491,0.000917151,0.000157592,0.000531628,0.001588969,0.025948487,0.007870792,0.084325887,3.53E-05,0.000336984,0.001411532,0.000223776,0.00121508,0.000183987,0.000452294,0,0.000361669,0,0.003357136,0.001462123,0.000381466,0.000309562,0.000158227,0.002631402,0.007944748,0.001259757,0.000902438,0.008424905,0.00725196,0,0.003849268,0.001050449,0.001827605,5.98E-05,0.000114039,0.003187861,0.070652354,0.011676898,0,0,0.000479325,0.00633217,0.043631519,0.00069054,0.00066957,0.00212177,0.028071528,0.08331508,7.91E-05,0.001953522,0.000767087,0.001297493,0.000149771,0.00141378,0.000462071,0.000493745,0.000141168,0.01054775,0.056223564,0.063204089,0.000579776,0.00084295,0.013283757,0.000783511,0.034856872,0.007739791,0.000298124,0.00066825,0.001673729,0.001487493,3.41E-05,0.000294458,0.000327208,0,0.000889582,0.00653786,0.001327261,0.000126406,0.000348374,0.000387527,8.71E-05,0.000237854,4.74E-05,2.76E-05,0.006185967,0.003701257,0.010460498,0.026612827,0.034653186,2.59E-05,0.000181886,0,0.001275154,0.034128988,0.000488515,0.000548736,0.062179302,0.000147034,0.002582179,0.00293764,0.008060498,0.000154952,0,0,0.000159498,0,0.000566236,0.000404244,0.00035551,0.002334988,0.000487928,0.000843879,0.000577527,0.000216689,0.000147962,0.000117265,0.000402876,9.18E-05,0.002094641,0.000392269,2.05E-05,9.67E-05,0,0.0007119,0.000172647,0.000690393,0.002230677,0.01681921,0.016031837,0.003267097,0.000153584,0.000260486,0.000582268,0.001631642,0.003744223,0.017532675,0.034661544,0.013821544,0.000666637,6.13E-05,0.000166879,0.000228029,0.000317628,0.000251003,0,7.72E-05,0.000220062
D11B110C,B73,1,1,11,3,10,center,58,B73_11_12,58,0.00143115,0.001366783,2.54E-05,0.004732342,0,0.000282561,0.000418194,6.61E-05,0.011550221,0.000171633,0.000866915,0.000948087,0.016288999,0.00124857,0.000136674,0.000219041,0.001530322,0.039635886,0.004787805,0.066489864,0.000144537,0.000447834,0.001920071,6.22E-05,0.000546351,0.000209868,0.000524574,5.50E-05,0.000225324,6.48E-05,0.001317023,0.002210687,0.000284141,0.000294972,0.00021908,0.003359623,0.006121557,0.001996772,0.0007001,0.004354965,0,0,0.002321576,0.000855815,0.001777114,0,0.000271691,0.00236143,0.065341313,0.033908589,8.48E-05,0,0.000271113,0.004549878,0.028960328,0.001253774,0.000837661,0.003723587,0.019031661,0.052286016,0.000612838,0.001305653,0.000763349,0.001505346,0.000115668,0.001219971,0.000253807,0.000637891,0.000138178,0.00865566,0.0428349,0.062161609,0.000807057,0.001011067,0.027084042,0.001132401,0.03913837,0.016161074,0.000491118,0.000628756,0.001488926,0.001989603,3.30E-05,0.000110041,0.000183466,5.46E-05,0.000304762,0.001686653,0.001919262,9.33E-05,0.000111737,0.000223474,0,9.56E-05,0,0,0.006730424,0.0067406,0.016294896,0.021166148,0.041531097,0.000376645,0.00020902,9.20E-05,0,0.033174648,0.000288573,0.000388131,0.057545476,0.000318175,0.005669483,0.003510674,0.011586837,0.00021511,0,0,0.00010002,0,0.000235692,0.000174601,0.000136212,0.003291903,0.000430837,0.00028788,9.28E-05,4.42E-05,0.000150974,0.000121565,0.000359493,2.81E-05,0.002010763,0.000436233,0.000149741,0.000152169,0,0.000418079,8.77E-05,0.000591755,0.002714101,0.019000633,0.027085892,0.005611552,0.000110118,0.000230335,0.000524882,0.002260254,0.005604113,0.026597395,0.040600008,0.041316758,0.00137453,0,0.000179727,0.000235384,0.000231606,0.000389749,0,0.000675047,7.37E-05
D11B110T,B73,1,1,11,3,10,tip,58,B73_11_12,58,0.008831975,0.002373917,0,0.004661424,0,0.000329635,0.000476603,7.72E-05,0.01162681,0.000148609,0.000630035,0.000639084,0.012041961,0.001019979,0,9.41E-05,0.000844521,0.02218805,0.003703444,0.085768583,9.69E-05,0.000317354,0.001458597,7.07E-05,0.000635255,0.000201261,0.000495546,6.68E-05,0.000288915,5.24E-05,0.001118223,0.001843121,0.000419128,0.000189329,0.000162381,0.001865643,0.00535122,0.005357435,0.000662004,0.005546118,0.004208735,0,0.002421249,0.000923077,0.001925704,6.59E-05,0.000126733,0.002791703,0.066301486,0.021551054,0,0,0.000329585,0.003754804,0.025512986,0.000959222,0.000717092,0.001287415,0.015134562,0.051023039,0.000476504,0.001448703,0.000534078,0.001089386,0.000268978,0.000922779,0.000200515,0.000306615,0.00019445,0.005972107,0.066637137,0.066184051,0.000502208,0.000507081,0.008538038,0.000375625,0.0403732,0.010211121,0.000297019,0.000278574,0.000688952,0.001248187,0.000368763,0,0.000161934,4.85E-05,0.000160641,0.001027635,0.002008087,0,0,0.000122954,4.12E-05,0,0,0,0.006946692,0.007190612,0.015346711,0.019737119,0.031251813,0.000899013,0.000207675,0,0,0.034493122,0.000318846,0.000361753,0.048790521,0,0.003280488,0.002655275,0.001159489,0,0,0,0.000108834,0,0.000400882,0.000420968,0.000212846,0.005042666,0.000221696,0.000464173,0.000363443,0.000115496,0.000154028,0.00044006,0.000436082,0,0.002446109,0.000863812,0.000202355,0.000162083,6.58E-05,0.000401727,0.000242577,0.000668567,0.003861351,0.029438176,0.039512371,0.008699524,0.000141698,0.000233976,0.000549988,0.00267213,0.007607752,0.025397688,0.054596618,0.044873983,0.001684419,5.04E-05,0.000191467,0.000336844,0.000452987,0.000423305,2.81E-05,0.00094371,0.000346489
D11B112B,B73,1,1,11,3,12,base,58,B73_13_12,58,0.00146907,0.000359641,0,0.009138642,0,0.000755083,0.000938937,0.000341993,0.008223278,0.000187888,0.000328379,0.005133175,0.03388102,0.000435528,0,0.001175546,0.002280753,0.010690784,0.008614811,0.108527044,0.000255329,0.000225012,0.000470635,0.000117359,0.000702706,7.41E-05,0.000780042,0,0.000515259,0.000235727,0.003659944,0.001228238,0.00012694,0.000385546,0.000699554,0.005756527,0.007045714,0.000531898,0.001267127,0.010227713,0.007213749,0,0.003202483,0.000927781,0.00467023,0.000106644,0.000248081,0.009162467,0.039709652,0.002591925,0,0,0.001188026,0.006678321,0.023404218,0.000878556,0.000330144,0.004847781,0.031965077,0.096001876,0,0.001903211,0.000303672,0.000418888,0.000227029,0.009836053,0.001090395,0.001067074,0.000317538,0.05211286,0.052223034,0.059634945,0.000301214,0.002957806,0.024444884,0.003181305,0.033869108,0.004549467,0.000408425,0.001533612,0.001896909,0.00051091,6.52E-05,0.000176291,0.000250034,0,0.001274627,0.013201465,0.003075921,0.000156185,0.000386996,0.000331215,0,0.000142003,7.84E-05,0,0.005700432,0.000783887,0.011072044,0.022690735,0.005469558,0,0.000201061,0,0.000868534,0.018852672,0.000534861,0.000970451,0.038427651,0,0.001310301,0.001718412,0.003050143,0,0,0,0.000106833,0,0.000238374,0.000490425,0.000121078,0.001751943,0.000750734,0.000847419,0.000439183,0.000132486,9.76E-05,6.61E-05,0.000623983,4.63E-05,0.004059861,0.000616546,0.000238563,0.000124292,2.72E-05,0.000636715,0.000259741,0.00104993,0.007524606,0.029927363,0.012430058,0.001517855,0.000159588,0.000262451,0.000811871,0.003281332,0.010784507,0.035704501,0.032105379,0.00768911,0.000234466,0,0.000257661,0.000324975,0.00022829,0.000160408,0,0.000351952,2.71E-05
D11B112C,B73,1,1,11,3,12,center,58,B73_13_12,58,0.002274604,0.001262674,0,0.004087077,0,0.000327074,0.000453368,8.39E-05,0.010425891,1.70E-05,0.000750848,0.001240997,0.013844177,0.000940443,0.0001399,0.000138785,0.001339965,0.021251803,0.004466037,0.066301359,5.91E-05,0.000357091,0.001487821,3.87E-05,0.000487229,0.000154351,0.000466513,0,0.000219804,0,0.000935101,0.001451424,0.00042535,0.000366238,0.00018333,0.003114965,0.006311141,0.00222072,0.00073728,0.004978056,0.003827763,0,0.002762294,0.000930335,0.002057029,0,0.000358244,0.00356153,0.065874395,0.027377807,0,0,0.000306742,0.005048967,0.030087524,0.001060357,0.000753461,0.001853252,0.023102403,0.076255548,0.000427656,0.001699938,0.00083498,0.001408723,0.00014063,0.00151165,0.00027269,0.000520205,0.000131137,0.00917198,0.042702119,0.051167411,0.000703074,0.001093065,0.028431362,0.00113123,0.051255156,0.009282708,0.000462016,0.000769104,0.002019556,0.001761586,6.24E-05,0.0001178,0.000202432,8.14E-05,8.04E-05,0.001238845,0.001979277,7.33E-05,0.000141091,0.00014236,0,7.49E-05,0,0,0.006381091,0.004786923,0.013942184,0.026971752,0.03824004,0.000461824,0.00028545,0,0,0.030018765,0.000287064,0.000391912,0.052884145,0.000193977,0.004322793,0.003408639,0.008813505,5.01E-05,0,0,0.000124334,0,0.000317696,0.000358282,0.000140976,0.003134605,0.000523741,0.000542458,0.000385993,0.000101735,0.000247477,0.000172876,0.000357052,2.61E-05,0.002108415,0.000451946,0.000220227,0.000187789,4.87E-05,0.000361395,0.000118723,0.000675863,0.004573691,0.026626306,0.025516369,0.004216946,0.000108768,0.000178219,0.000702959,0.004164484,0.01131856,0.037523437,0.041466233,0.029146581,0.000823411,0,0.000275918,0.000381958,0.000235293,0.000563828,0,0.00043073,4.97E-05
D11B112T,B73,1,1,11,3,12,tip,58,B73_13_12,58,0.000950095,0.001244175,0,0.00434209,0,0.000373813,0.000527916,7.23E-05,0.012120996,4.15E-05,0.000681205,0.001047021,0.015055996,0.00109692,0,0.000295995,0.000946073,0.02979167,0.00499868,0.082611471,0.000132745,0.000395314,0.001815573,8.20E-05,0.001080398,0.00018523,0.000328176,0,0.00026142,0,0.003307616,0.00160319,0.000474952,0.000278899,0.000399672,0.00251986,0.007287481,0.00459714,0.000834207,0.006093445,0.006119017,0,0.003677262,0.000940039,0.001848855,0,0.000207067,0.002967564,0.064008277,0.013320971,0,0,0.000267454,0.004006635,0.023748987,0.001070629,0.000655346,0.001586477,0.018494537,0.084890695,0.000419067,0.001596103,0.000724352,0.001217358,0,0.000431374,0.000198543,0.000425053,0.000117469,0.006121411,0.061134142,0.055441997,0.000615694,0.000652616,0.011529868,0.000690543,0.037537439,0.007366975,0.000306435,0.000456515,0.00096111,0.00135154,0.000400247,0.000183554,0.00027411,7.52E-05,0.000288333,0.000978732,0.002140923,0,0,0.000113398,0,0,2.80E-05,2.62E-05,0.006650046,0.005608053,0.016337332,0.025308551,0.036877735,0.000872278,4.25E-05,0,0,0.037201984,0.000415475,0.000480794,0.060188021,0.000249879,0.004654462,0.004552461,0.012368337,4.18E-05,0,0,0.000112441,0,0.000322046,0.000307775,0.000186954,0.004093504,0.000395027,0.000317257,0.000305429,0.00012039,0.000120582,0.00015985,0.000399193,4.48E-05,0.00158461,0.000591703,8.86E-05,0.000155157,2.77E-05,0.000735845,0.000152475,0.000550567,0.003062478,0.024541723,0.016223694,0.004745641,8.85E-05,0.000109903,0.000457521,0.002500992,0.007373105,0.029422168,0.048661074,0.027270757,0.001212234,0,0.000172061,0.000343979,0.00045594,0.000324201,3.52E-05,0.000434535,0.00045345
D11B14B,B73,1,1,11,3,4,base,58,B73_5_12,58,0.000179577,0.002654638,0,0.008974848,0,0.000518951,0.000459916,4.40E-05,0.010150832,0.000116602,0.000523896,0.000473593,0.01328339,0.00074435,6.19E-05,5.73E-05,0.000722018,0.028265964,0.002651393,0.133298525,0.000135919,0.000236371,0.001042769,7.28E-05,0.000712978,0.00041788,0.000433335,0,0.000531237,0,0,0.001404783,0.000153846,0.000133756,8.96E-05,0.000774717,0.002931345,0.001926438,0.000593362,0.00451385,0,0,0.001390411,0.000538732,0.001199165,2.68E-05,6.26E-05,8.01E-05,0.00914523,0.007343352,0,0,0.000184754,0.002159564,0.02602032,0.000479697,0,0.001886025,0.005797473,0.141108207,0.000436812,0.000734536,0.000130047,0.000618553,0,0.00075254,0.000113279,0.000267898,0.000206622,0.00333663,0.112455734,0.119488226,0.000131979,0.000484179,0.005976432,0,0.053507317,0.027019432,0.000274311,0.000100684,0.000400031,0.00106935,0.000178882,0.000168759,0.000131051,6.95E-05,0.000618784,0.004339605,0.00277433,0,0.000268284,0.000567786,0,0.000193254,0,4.61E-05,0.003770119,0.004608507,0.007173897,0.010061661,0.023248385,0.000184059,0,0,0,0.027217477,0.000325465,0,0.047468064,0.000186918,0.00286551,0.000990071,0.002543059,0.00014836,0,0,0.0001778,0,0.000571727,0.000623807,0.000380018,0.002389676,0.000772012,0.000965035,0.000598617,0.000148128,7.78E-05,0.000404899,0.000509369,7.19E-05,0.00175652,0.000753699,0.000138237,8.33E-05,0,0.000519569,0.000302901,0.000707569,0.001417301,0.007034655,0.018285282,0.012038325,0.00020075,0.000210717,0.000120852,0.000729745,0.001574315,0.00518827,0.02452683,0.029018813,0.002405053,4.47E-05,9.79E-05,0.000150137,0.000181355,0.000130433,0,5.46E-05,0.000275857
D11B14C,B73,1,1,11,3,4,center,58,B73_5_12,58,0.000101342,0.003482148,0,0.006515391,0,0.0004769,0.000543382,3.70E-05,0.01568685,0.000114187,0.000742389,0.000642126,0.018972149,0.001165799,0.000105019,0.000165079,0.001209483,0.03816169,0.003552406,0.084581487,0,0.000131249,0.001604554,0,0.001017291,0.000529556,0.000793722,0,0.000398405,6.50E-05,0.000813872,0.002299876,0.000204939,0.000145516,0.000152233,0.000873834,0.004781843,0.003652865,0.00082559,0.006656495,0.004061566,0,0.002362926,0.000831621,0.001063868,0,0.000133357,0.000760676,0.025448023,0.027916459,0,0,0.000261763,0.00361575,0.049640771,0.000565935,0,0.003699099,0.008049001,0.090806483,0.000610453,0.001095737,0.000350701,0.00077818,0,0.000782053,9.18E-05,8.53E-05,0.000192976,0.00333972,0.075233967,0.080760308,0.00041532,0.000370655,0.00501012,0,0.037157391,0.020346122,0.000248476,0.000179444,0.000361291,0.001082107,3.40E-05,0,0.000112569,9.29E-05,0.000515093,0.003351242,0.000929089,0.000255585,0.000301966,0.000605796,0.000258919,0.000167334,6.98E-05,0,0.005645578,0.005873413,0.008548062,0.011369208,0.030037626,0,0.000118061,0,0,0.045465312,0.000333246,0.000345258,0.067113679,7.00E-05,0.004547487,0.001081568,0.000428901,0.000189936,0,0,0.000111589,0,0.000405416,0.00042238,0.000247692,0.004284008,0.000590744,0.000556816,0.000348837,0.000153165,7.23E-05,0.000215039,0.000582801,0,0.001840773,0.001466882,0.000143849,0.000175767,1.85E-05,0.000324814,0.000222295,0.000676053,0.001348233,0.01041889,0.032176394,0.02306676,0.000112864,0.000200036,0.000346386,0.000768766,0.002491234,0.004823615,0.024829823,0.043919543,0.004023863,6.65E-05,0.000125366,0.000248574,0.000486951,0.000149439,0,0,0.000764452
D11B14T,B73,1,1,11,3,4,tip,58,B73_5_12,58,0.000188139,0.002111656,0,0.006981945,0,0.000577701,0.000577119,2.76E-05,0.012507624,9.75E-05,0.000694448,0.000509219,0.014692049,0.000906825,8.98E-05,0.000115265,0.001623288,0.045959124,0.002773927,0.091294347,0.000142785,0.000269269,0.001371748,0,0.000625066,0.000470374,0.001144976,0,0.000348864,0,0.000564629,0.002348801,0.00015448,7.63E-05,0.000168399,0.000753615,0.003904402,0.00325261,0.00084697,0.006940877,0.003495153,0,0.001805183,0.000811829,0.001261881,0,0.000126749,3.82E-05,0.005516365,0.006159954,0,0,0.000267734,0.003418045,0.057802731,0.000553727,0,0.007832513,0.008141315,0.077267215,0.000495989,0.001186044,0.000388609,0.000783093,0,0.000325208,0.000126961,0.000140403,0.000231588,0.004570377,0.092066961,0.090329889,0.000434546,0.000862847,0.016988933,0,0.063721306,0.043966702,0.000368181,0.000400146,0.000248629,0.001167838,0,0.00014506,0.000144849,0.000104628,0.001024789,0.009092278,0.00082072,0.000379824,0.001489183,0.001835878,0.000895235,0.000437721,0.00041687,0,0.003227313,0.00371584,0.004844462,0.008285159,0.022643584,0,0,0,0.000739749,0.032749167,0.000283929,0,0.055227528,0,0.004797309,0.000733504,0.004870394,0,0,0,0.000122462,0,0.00037395,0.000383158,0.000173533,0.00464468,0.000247306,0.000554309,0.000364424,0.000161202,9.21E-05,0.000271704,0.000602257,3.21E-05,0.002234383,0.002076357,0.000112989,0.000158926,0,0.000738426,0.00021931,0.000854432,0.002182043,0.008933352,0.028495319,0.025080078,0.000154428,0.000278583,0.000260272,0.0012251,0.003254198,0.006710135,0.018281615,0.028714576,0.00299546,0.000111507,0.000122409,0.000288745,0.000687674,0.000108861,0,0,0.000378025
D11B16B,B73,1,1,11,3,6,base,58,B73_7_12,58,0.000275028,0.002530969,0,0.006448751,0,0.000347198,0.000384441,0.000101887,0.013608541,0.000144388,0.00067066,0.000751755,0.018485857,0.001028327,9.18E-05,0.000245021,0.000945302,0.029565214,0.003978085,0.083220415,7.67E-06,0.000348983,0.001457295,7.05E-05,0.001270791,0.000299052,0.000617835,0,0.00036167,0,0.001459755,0.001686348,0.000280286,0.000123885,0.000113658,0.001722771,0.00477017,0.00234268,0.000628738,0.00510907,0.003434397,0,0.001629519,0.000630282,0.001219606,0,0.000144485,0.001528018,0.065300726,0.031617622,0,0,0.000191376,0.003559826,0.03197992,0.000861458,0.000645575,0.002139774,0.011548559,0.088711465,0.000534039,0.001034116,0.00052825,0.001034405,0.000103672,0.000797682,0.000139902,0.000256406,0.000122679,0.004190591,0.068145847,0.073484694,0.000450822,0.000452172,0.007152843,0.000290803,0.046906191,0.014240222,0.000239184,0.000264559,0.000663183,0.001306973,4.24E-05,0.000231465,0.000153168,7.96E-05,0.00035236,0.001466412,0.001293658,0.000109944,0.000141832,0.000167159,0,5.55E-05,2.72E-05,0,0.005547253,0.005974532,0.012944586,0.015020826,0.03109328,5.90E-05,1.92E-05,0,0,0.033539343,0.000320713,0.000302043,0.055556853,0,0.003417657,0.002103448,0.012338377,2.68E-05,0,0,0.000122776,0,0.000309907,0.000300403,0.000121473,0.003407092,0.000482468,0.000440546,0.000281926,9.17E-05,0.000125092,0.000235566,0.000759185,0,0.001289171,0.000481696,0.000129144,8.51E-05,0,0.000851906,0.000136959,0.000427521,0.001875939,0.015158364,0.020956668,0.007190617,7.87E-05,0.000141832,0.000272857,0.00118,0.003655731,0.01780029,0.04669494,0.035548478,0.002177789,3.00E-05,0.000107869,0.000176421,0.000314827,0.000123017,0,0.000591302,0.000483433
D11B16C,B73,1,1,11,3,6,center,58,B73_7_12,58,0.00038095,0.003011552,0,0.004850385,0,0.000313042,0.000399603,5.00E-05,0.014074783,4.29E-05,0.000762712,0.000580731,0.014789664,0.00122299,9.17E-05,0.000106393,0.001083313,0.034771689,0.003431149,0.070105415,0.000187955,0.000310969,0.001802583,7.02E-05,0.001016909,0.000322511,0.00063856,0,0.000246313,4.80E-05,0.001011017,0.002274076,0.00020478,0.00015772,0,0.001615603,0.005488417,0.002438745,0.00074414,0.005177691,0.003795071,0,0.001833712,0.000674973,0.001285736,5.60E-05,0.00024932,0.001866874,0.064894401,0.055263409,0,0,0.000177349,0.004168991,0.037918284,0.000451743,0,0.003189104,0.012486815,0.081488679,0.000796443,0.001061775,0.00050559,0.00106527,0,0.0007441,0.000155119,0.000340148,0.000153493,0.005960642,0.045167466,0.069370053,0.000730811,0.000563663,0.01155411,0.000416631,0.061403959,0.024449631,0.000391475,0.000187346,0.000708825,0.001562569,2.62E-05,0.000186289,0.00015138,6.53E-05,0.000563622,0.00688018,0.002476093,0.000141667,0.000358802,0.001364088,0.000321373,0.000173813,6.69E-05,0,0.007392556,0.007573887,0.014206169,0.018262427,0.036952377,8.19E-05,2.49E-05,0,0.000437194,0.035069735,0.000304589,0.000270087,0.05757914,0.000353112,0.00432033,0.001743453,0.008778711,4.22E-05,0,0,0.000112489,0,0.000239282,8.56E-05,0.000131711,0.003749312,0.000392004,0.000314017,0.000212298,5.72E-05,0.000121917,0.000276345,0.000306215,0,0.001165079,0.000697853,0.000137766,0.00012338,1.61E-05,0.000321292,0.000147967,0.0005368,0.000929373,0.010636929,0.022528017,0.009896405,0.00010115,0.000175195,0.000322267,0.000913239,0.002209623,0.007002463,0.025229209,0.030315178,0.001844807,0,7.23E-05,0.00016662,0.00026968,0.000158086,0,0.000136506,0.000865204
D11B16T,B73,1,1,11,3,6,tip,58,B73_7_12,58,0.000287557,0.002769903,0,0.006535747,0,0.00047946,0.000566738,0,0.009917538,4.17E-05,0.000460477,0.000461766,0.01439157,0.001002533,0.000101056,0.000211727,0.000577344,0.034203798,0.003505497,0.085498889,0.000119047,0.000278388,0.001401455,0.00019225,0.001319183,0.000354416,0.000376124,0,0.000367153,0,0.001520849,0.002050862,0.000217526,0.000243645,0,0.000900486,0.005395779,0.003418268,0.00093057,0.00661123,0.005402272,0,0.003405531,0.001097692,0.001328748,0,0.000285921,0.00182159,0.063687095,0.049201259,0,0,0.000142985,0.002658339,0.027358786,0.00062532,0,0.002330638,0.009520103,0.089208481,0.000486547,0.001142843,0.000349856,0.00057442,0.000218666,0.000426776,0.000104526,3.47E-05,0.000116123,0.003648631,0.081800696,0.082504621,0.000573082,0.000467862,0.007127464,0.000347972,0.050969867,0.022315242,0.00021148,0.00015835,0.000333054,0.001036731,4.70E-05,0.000465235,0.00011642,8.92E-05,0.000378502,0.00224108,0.002145029,0.000141598,0.000232395,0.000389654,0,9.14E-05,2.87E-05,0,0.005536187,0.004129478,0.014423537,0.014228412,0.025808497,7.54E-05,0.000147793,7.13E-05,0,0.033808048,0.000362742,0.000254251,0.058440546,0.000186401,0.004574344,0.001924777,0.01108992,0.000177827,0,0,8.60E-05,0,0.000387523,0.000186154,0.000230412,0.005068077,0.000452944,0.000608469,0.000306291,0.000129356,0,0.000153839,0.000579227,8.11E-05,0.001330285,0.001032766,7.55E-05,9.54E-05,0,0.000779456,0.000224613,0.000668835,0.001677464,0.007185154,0.020832406,0.016386823,6.15E-05,0.000101651,0.000346139,0.000798686,0.001357197,0.005218745,0.02015812,0.027690552,0.001862329,0,8.62E-05,0.000182932,0.000307282,0.000117312,0,0,0.001812768
D11B18B,B73,1,1,11,3,8,base,58,B73_9_12,58,0.001164199,0.000992788,0,0.006511163,0,0.000369062,0.000367801,6.53E-05,0.013599687,3.48E-05,0.000696754,0.000938017,0.021027529,0.000997318,4.19E-05,0.000156889,0.001223966,0.030298534,0.00526245,0.080550095,5.24E-05,0.000397965,0.001571829,7.47E-05,0.000659213,0.000231364,0.000523429,0,0.000324704,0,0.001010952,0.001649526,0.000199333,0.000137231,9.63E-05,0.002355432,0.004999802,0.001362784,0.000557329,0.004969591,0.00293961,0,0.001725636,0.000675369,0.001229802,2.48E-05,0.000204562,0.002288521,0.075978329,0.036225613,0,0,0.000234306,0.003987356,0.029370695,0.001099482,0.000673081,0.002148489,0.01567272,0.080280956,0.000546076,0.001218783,0.000655804,0.001233211,6.64E-05,0.000490791,0.000260407,0.000365467,9.98E-05,0.006434867,0.065101129,0.071562377,0.000555601,0.000671353,0.010966431,0.001036353,0.060087739,0.015816534,0.00035426,0.000340673,0.001205242,0.001580374,1.41E-05,0.00014162,0.000157542,7.67E-05,0.000370603,0.004884797,0.002460165,9.57E-05,0.000201948,0.000527212,9.85E-05,0.00020601,5.55E-05,0,0.00511957,0.005265018,0.015554306,0.016025953,0.035567007,0.000262695,0.000128079,0,0,0.032512113,0.000353233,0.000401934,0.058908692,0.000200173,0.003477607,0.003079175,0.000629423,1.63E-05,0,0,9.81E-05,0,0.000272267,0.000222072,0.000109355,0.002427994,0.000438308,0.000326618,0.000239022,4.80E-05,8.10E-05,0.000279551,0.000381109,0,0.001150144,0.000319334,9.30E-05,7.88E-05,3.18E-05,0.000442604,9.80E-05,0.00038928,0.001744734,0.011718983,0.016795875,0.005029639,9.48E-05,0.000173138,0.00029426,0.001140432,0.002919251,0.015215781,0.041075577,0.026393638,0.001157428,0,0.000113884,0.000178461,0.00018299,0.000259053,0,0.000237761,7.52E-05
